symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SH2_0pt5mM_A	Gcn1_SH2_0pt5mM_B
ENSMUSG00000017119.19|Nbr1	4554	5056	3739	4201
ENSMUSG00000017132.17|Cyth1	424	481	456	559
ENSMUSG00000017144.8|Rnd3	2701	3051	3731	3775
ENSMUSG00000017146.12|Brca1	1035	1218	1212	1218
ENSMUSG00000017167.6|Cntnap1	1008	993	1141	1151
ENSMUSG00000017176.17|Nt5c3b	799	889	860	938
ENSMUSG00000017188.3|Coa3	1365	1392	2055	2103
ENSMUSG00000017210.14|Med24	1749	1779	1935	2138
ENSMUSG00000017221.14|Psmd3	2727	2730	3297	3617
ENSMUSG00000017264.16|Exosc10	2157	2255	2481	2470
ENSMUSG00000017286.15|Glod4	1120	1232	1114	1276
ENSMUSG00000017288.15|Vps53	1252	1403	1141	1299
ENSMUSG00000017291.13|Taok1	5080	5712	4813	4901
ENSMUSG00000017299.13|Dnttip1	558	588	655	719
ENSMUSG00000017307.16|Acot8	289	309	278	281
ENSMUSG00000017314.12|Mpp2	186	198	191	200
ENSMUSG00000017376.15|Nlk	1620	1769	1418	1490
ENSMUSG00000017386.10|Traf4	2945	2949	1810	2101
ENSMUSG00000017390.15|Aldoc	548	524	717	1129
ENSMUSG00000017404.12|Rpl19	29725	29167	29192	32719
ENSMUSG00000017405.14|Nek8	434	467	372	438
ENSMUSG00000017418.13|Arl5b	1399	1711	982	965
ENSMUSG00000017421.18|Zfp207	3678	4139	3209	3515
ENSMUSG00000017428.16|Psmd11	3257	3584	3217	3494
ENSMUSG00000017446.14|C1qtnf1	33	38	41	64
ENSMUSG00000017453.4|Pipox	11	13	42	61
ENSMUSG00000017466.9|Timp2	11790	12662	9371	9957
ENSMUSG00000017478.15|Zc3h18	2047	2335	1801	2025
ENSMUSG00000017485.11|Top2b	3671	4246	2516	2697
ENSMUSG00000017493.12|Igfbp4	14110	15165	11864	13720
ENSMUSG00000017499.15|Cdc6	1183	1300	1667	1562
ENSMUSG00000017548.15|Suz12	3870	4569	3127	3260
ENSMUSG00000017550.14|Atad5	1077	1223	1080	1067
ENSMUSG00000017561.16|Crlf3	890	1021	847	954
ENSMUSG00000017607.9|Tns4	8648	9171	7006	7582
ENSMUSG00000017615.12|Tnfaip1	4021	4411	3516	3791
ENSMUSG00000017631.18|Abr	2305	2443	2322	2614
ENSMUSG00000017639.13|Rab11fip4	79	112	31	60
ENSMUSG00000017664.16|Slc35c2	1658	1646	1635	1726
ENSMUSG00000017667.9|Zfp334	330	370	163	176
ENSMUSG00000017670.16|Elmo2	1321	1306	1216	1272
ENSMUSG00000017677.11|Wsb1	3596	4184	3526	3734
ENSMUSG00000017679.16|Ttpal	1138	1358	948	967
ENSMUSG00000017686.17|Rhot1	1865	2187	1947	2076
ENSMUSG00000017697.3|Ada	50	43	11	9
ENSMUSG00000017707.9|Serinc3	5030	5793	5198	5679
ENSMUSG00000017713.9|Tha1	88	136	129	144
ENSMUSG00000017715.11|Pgs1	1717	1844	1699	1683
ENSMUSG00000017716.15|Birc5	1991	2219	1770	2033
ENSMUSG00000017718.15|Afmid	395	379	397	449
ENSMUSG00000017721.15|Pigt	1857	1944	2053	2379
ENSMUSG00000017723.11|Wfdc2	4525	4130	3163	3670
ENSMUSG00000017724.14|Etv4	1172	1320	1464	1566
ENSMUSG00000017734.15|Dbndd2	1052	1112	1038	1015
ENSMUSG00000017737.2|Mmp9	795	953	63	52
ENSMUSG00000017740.17|Slc12a5	26	50	22	13
ENSMUSG00000017747.13|Ghdc	402	418	412	481
ENSMUSG00000017754.13|Pltp	136	188	292	336
ENSMUSG00000017756.9|Slc12a7	1539	1574	1622	1906
ENSMUSG00000017760.16|Ctsa	3363	3534	3286	3937
ENSMUSG00000017764.2|Zswim1	225	238	216	226
ENSMUSG00000017765.17|Slc12a4	1530	1560	1012	1160
ENSMUSG00000017774.19|Myo1c	7240	7814	6725	7530
ENSMUSG00000017776.15|Crk	6303	7084	5967	6456
ENSMUSG00000017778.14|Cox7c	1547	1731	1983	2121
ENSMUSG00000017781.17|Pitpna	3878	4520	4385	4874
ENSMUSG00000017801.15|Mlx	838	956	898	951
ENSMUSG00000017802.14|Retreg3	1487	1736	2100	2306
ENSMUSG00000017830.15|Dhx58	37	31	21	21
ENSMUSG00000017831.8|Rab5a	3722	4342	4141	4344
ENSMUSG00000017837.12|Nkiras2	776	765	680	752
ENSMUSG00000017843.14|Ppp2r5c	2846	3311	2265	2463
ENSMUSG00000017858.12|Ift52	777	832	717	860
ENSMUSG00000017861.11|Mybl2	759	776	616	611
ENSMUSG00000017868.16|Sgk2	75	59	54	72
ENSMUSG00000017897.18|Eya2	2025	2019	1148	1325
ENSMUSG00000017929.13|B4galt5	954	1073	1204	1275
ENSMUSG00000017950.16|Hnf4a	4160	4408	5178	5724
ENSMUSG00000017999.16|Ddx27	4242	4538	3600	3888
ENSMUSG00000018001.18|Cyth3	620	656	411	489
ENSMUSG00000018008.8|Cyth4	41	51	9	15
ENSMUSG00000018012.11|Rac3	191	153	170	184
ENSMUSG00000018040.9|Rrp7a	1082	1088	1142	1254
ENSMUSG00000018042.18|Cyb5r3	5016	5070	5471	5691
ENSMUSG00000018068.13|Ints2	1213	1459	1355	1534
ENSMUSG00000018076.12|Med13l	3424	3493	2689	2727
ENSMUSG00000018102.5|Hist1h2bc	473	652	434	451
ENSMUSG00000018143.10|Mafk	1717	1746	2222	2051
ENSMUSG00000018160.15|Med1	2129	2532	2249	2408
ENSMUSG00000018166.8|Erbb3	376	424	872	1036
ENSMUSG00000018167.10|Stard3	972	910	1011	1171
ENSMUSG00000018171.9|Vmp1	5588	6623	4775	5336
ENSMUSG00000018189.12|Uchl5	1202	1467	919	1013
ENSMUSG00000018196.18|Glrx2	439	564	420	450
ENSMUSG00000018199.9|Trove2	1466	1718	1296	1372
ENSMUSG00000018209.15|Stk4	1081	1256	1528	1594
ENSMUSG00000018217.12|Pmp22	787	899	677	768
ENSMUSG00000018239.9|Zcchc10	762	882	745	827
ENSMUSG00000018286.6|Psmb6	4415	4040	4358	4770
ENSMUSG00000018287.12|Spag7	772	831	908	1051
ENSMUSG00000018293.4|Pfn1	9382	11054	9997	11085
ENSMUSG00000018322.10|Tomm34	585	737	748	852
ENSMUSG00000018326.9|Ywhab	7581	8540	7914	8046
ENSMUSG00000018334.18|Ksr1	538	560	827	983
ENSMUSG00000018340.13|Anxa6	2234	2120	1948	2273
ENSMUSG00000018347.16|Zkscan6	279	260	213	277
ENSMUSG00000018362.14|Kpna2	6726	7484	6388	7308
ENSMUSG00000018363.16|Smurf2	1270	1466	1368	1413
ENSMUSG00000018372.13|Cep95	489	564	556	583
ENSMUSG00000018377.10|Vezf1	2664	2963	2913	2975
ENSMUSG00000018378.13|Cuedc1	584	616	389	392
ENSMUSG00000018379.17|Srsf1	7588	9405	7623	8176
ENSMUSG00000018381.15|Abi3	95	103	86	102
ENSMUSG00000018387.12|Shroom1	197	205	205	245
ENSMUSG00000018395.19|Kif3a	1044	1205	1016	1188
ENSMUSG00000018398.18|Sept8	4856	5402	4760	5319
ENSMUSG00000018401.17|Mtmr4	1149	1215	1165	1234
ENSMUSG00000018405.7|Mrm1	291	314	317	374
ENSMUSG00000018411.17|Mapt	127	130	181	208
ENSMUSG00000018412.16|Kansl1	2313	2518	2393	2516
ENSMUSG00000018415.14|Gid4	1377	1502	1411	1445
ENSMUSG00000018417.14|Myo1b	2462	2782	3272	3580
ENSMUSG00000018425.18|Dhx40	1887	2264	1879	2140
ENSMUSG00000018427.7|Ypel2	442	461	597	704
ENSMUSG00000018428.15|Akap1	3252	3355	4259	4417
ENSMUSG00000018433.14|Nol11	2718	3128	2409	2639
ENSMUSG00000018442.13|Derl2	1377	1606	1148	1218
ENSMUSG00000018446.8|C1qbp	4715	5097	4357	4658
ENSMUSG00000018449.12|Rpain	265	274	202	240
ENSMUSG00000018470.8|Kcnab3	54	60	33	40
ENSMUSG00000018474.17|Chd3	6584	6944	7581	8568
ENSMUSG00000018476.7|Kdm6b	2340	2395	2428	2458
ENSMUSG00000018481.9|Appbp2	3503	4097	3705	3877
ENSMUSG00000018501.17|Ncor1	4185	4703	4566	5191
ENSMUSG00000018509.8|Cenpv	562	584	582	578
ENSMUSG00000018537.16|Pcgf2	839	950	873	851
ENSMUSG00000018541.10|Cwc25	642	686	628	741
ENSMUSG00000018547.8|Pip4k2b	1448	1536	1521	1639
ENSMUSG00000018548.15|Trim37	905	1036	730	839
ENSMUSG00000018559.16|Ctdnep1	2597	2658	2655	2799
ENSMUSG00000018565.17|Elp5	2010	2020	1921	2161
ENSMUSG00000018567.14|Gabarap	5902	6231	5759	6571
ENSMUSG00000018569.12|Cldn7	34	41	30	30
ENSMUSG00000018570.17|2810408A11Rik	99	120	63	73
ENSMUSG00000018572.10|Phf23	2248	2343	2458	2490
ENSMUSG00000018574.14|Acadvl	1926	1931	2197	2492
ENSMUSG00000018583.5|G3bp1	8814	9196	13275	13973
ENSMUSG00000018585.9|Atox1	907	827	1023	1148
ENSMUSG00000018593.13|Sparc	483	498	106	117
ENSMUSG00000018599.5|Mief2	245	247	213	205
ENSMUSG00000018648.15|Dusp14	249	231	217	195
ENSMUSG00000018651.14|Tada2a	676	797	614	681
ENSMUSG00000018659.12|Pnpo	815	934	1092	1190
ENSMUSG00000018661.17|Cog1	1075	1080	1043	1113
ENSMUSG00000018666.13|Cbx1	2688	3237	2604	2806
ENSMUSG00000018669.14|Cdk5rap3	1804	1732	2015	2271
ENSMUSG00000018672.15|Copz2	74	70	60	68
ENSMUSG00000018677.9|Slc25a39	5100	4958	5516	6017
ENSMUSG00000018678.13|Sp2	641	680	764	797
ENSMUSG00000018697.14|Aatf	1754	1980	2096	2396
ENSMUSG00000018707.13|Dync1h1	11359	11025	8264	8840
ENSMUSG00000018733.10|Pex12	359	423	449	469
ENSMUSG00000018736.14|Ndel1	1854	2208	1683	1712
ENSMUSG00000018740.14|Slc25a35	65	83	58	101
ENSMUSG00000018750.14|Zbtb4	1646	1749	1390	1516
ENSMUSG00000018752.19|Tnfsfm13	173	147	178	268
ENSMUSG00000018761.14|Mpdu1	1105	1077	1463	1570
ENSMUSG00000018765.5|Fxr2	3309	3380	3456	3621
ENSMUSG00000018770.9|Atp5g3	3087	3768	4099	4346
ENSMUSG00000018774.13|Cd68	101	143	154	217
ENSMUSG00000018796.13|Acsl1	256	286	498	536
ENSMUSG00000018800.14|Abca5	1140	1343	1564	1619
ENSMUSG00000018809.2|Smyd4	360	410	278	291
ENSMUSG00000018820.13|Zfyve27	965	1127	1072	1161
ENSMUSG00000018821.3|Avpi1	1751	1828	2193	2686
ENSMUSG00000018841.17|Rad51d	440	439	419	473
ENSMUSG00000018846.8|Pank3	3773	4468	3922	4159
ENSMUSG00000018848.4|Rars	10169	10775	8932	9124
ENSMUSG00000018849.6|Wwc1	3814	4071	4629	5233
ENSMUSG00000018858.15|Mrpl58	539	552	463	482
ENSMUSG00000018861.8|Fdxr	217	213	165	231
ENSMUSG00000018862.11|Otop3	262	306	557	734
ENSMUSG00000018882.12|Mrpl45	2479	2734	2711	2882
ENSMUSG00000018899.16|Irf1	2081	2140	5840	6243
ENSMUSG00000018900.7|Slc22a5	370	447	476	553
ENSMUSG00000018906.14|P4ha2	2022	1834	2416	2588
ENSMUSG00000018909.15|Arrb1	370	468	474	592
ENSMUSG00000018916.5|Csf2	3574	3008	7959	6888
ENSMUSG00000018920.11|Cxcl16	3619	3506	7017	7194
ENSMUSG00000018921.11|Pelp1	1786	1812	1906	2065
ENSMUSG00000018923.13|Med11	476	532	652	700
ENSMUSG00000018931.3|Natd1	705	755	926	888
ENSMUSG00000018932.9|Map2k3	2170	2429	2808	2811
ENSMUSG00000018965.11|Ywhah	5999	6737	5346	5817
ENSMUSG00000018974.7|Sart3	1257	1385	1449	1461
ENSMUSG00000018983.9|E2f2	514	633	701	707
ENSMUSG00000018986.10|Slfn3	66	58	3	8
ENSMUSG00000018995.12|Nars2	314	408	254	258
ENSMUSG00000018999.14|Slc35b4	1398	1482	1004	1017
ENSMUSG00000019039.14|Dalrd3	494	536	496	524
ENSMUSG00000019054.13|Fis1	1097	1083	1058	1152
ENSMUSG00000019055.15|Plod1	415	380	281	302
ENSMUSG00000019066.13|Rab3d	472	488	426	516
ENSMUSG00000019080.8|Mfsd3	129	121	111	133
ENSMUSG00000019082.18|Slc25a22	567	609	645	593
ENSMUSG00000019087.13|Atp6ap1	3501	3732	4024	4161
ENSMUSG00000019088.13|Dnase1l1	288	315	269	309
ENSMUSG00000019102.10|Aldh3a1	3758	3842	3947	4928
ENSMUSG00000019122.8|Ccl9	50	66	173	171
ENSMUSG00000019124.10|Scrn1	327	357	296	319
ENSMUSG00000019132.11|BC005537	3735	4443	4250	4508
ENSMUSG00000019139.10|Isyna1	1529	1636	2071	2339
ENSMUSG00000019143.15|Hars2	713	824	690	771
ENSMUSG00000019158.9|Tmem160	238	218	208	238
ENSMUSG00000019173.11|Rab5c	3980	4143	3903	4237
ENSMUSG00000019179.10|Mdh2	7513	7921	7046	7726
ENSMUSG00000019188.16|H13	4646	4878	5017	5535
ENSMUSG00000019189.13|Rnf145	1064	1150	1194	1346
ENSMUSG00000019210.10|Atp6v1e1	2266	2564	2921	3150
ENSMUSG00000019214.14|Chtf18	462	561	333	388
ENSMUSG00000019230.14|Lhx9	41	49	36	26
ENSMUSG00000019254.16|Ppp1r12c	1125	1258	973	960
ENSMUSG00000019256.17|Ahr	2300	2479	4991	5080
ENSMUSG00000019261.3|Map1s	768	1036	741	699
ENSMUSG00000019295.8|Tmem129	748	837	637	667
ENSMUSG00000019297.9|Nop9	807	886	589	717
ENSMUSG00000019302.16|Atp6v0a1	5234	5853	4671	5058
ENSMUSG00000019303.14|Psmc3ip	234	298	224	252
ENSMUSG00000019312.10|Grb7	1169	1215	1917	2131
ENSMUSG00000019320.14|Noxo1	145	119	443	579
ENSMUSG00000019338.13|Zfp687	1284	1333	1079	1194
ENSMUSG00000019362.8|D8Ertd738e	1378	1542	1347	1495
ENSMUSG00000019370.10|Calm3	2370	2442	2378	2871
ENSMUSG00000019373.11|Cops3	3143	3457	3078	3436
ENSMUSG00000019428.16|Fkbp8	3497	3657	3012	3446
ENSMUSG00000019432.15|Ddx39b	6632	6912	8590	8900
ENSMUSG00000019433.9|Gipc1	983	1115	681	814
ENSMUSG00000019437.17|Tlcd1	328	403	233	321
ENSMUSG00000019461.12|Plscr3	1404	1487	1329	1489
ENSMUSG00000019467.15|Arhgef25	737	816	577	678
ENSMUSG00000019470.12|Xab2	1338	1332	1313	1432
ENSMUSG00000019471.10|Cdc37	4465	4701	3404	3910
ENSMUSG00000019478.16|Rab4a	189	228	173	214
ENSMUSG00000019487.11|Trip10	2106	2137	2572	2670
ENSMUSG00000019494.14|Cops6	2133	2277	2008	2136
ENSMUSG00000019505.7|Ubb	33484	30687	39838	38932
ENSMUSG00000019518.11|Ap4m1	455	513	467	546
ENSMUSG00000019528.18|Gyg	549	597	569	592
ENSMUSG00000019558.14|Slc6a8	869	1034	748	903
ENSMUSG00000019564.12|Arid3a	98	111	115	111
ENSMUSG00000019578.11|Ubxn6	792	941	774	908
ENSMUSG00000019579.13|Mydgf	1692	1852	2093	2198
ENSMUSG00000019590.16|Cyb561	882	847	1285	1581
ENSMUSG00000019659.8|Ccdc12	787	836	747	763
ENSMUSG00000019689.4|Fmc1	173	183	202	191
ENSMUSG00000019699.16|Akt3	1518	1754	1727	1597
ENSMUSG00000019710.13|Mrpl24	1932	2115	2181	2306
ENSMUSG00000019715.14|Gle1	1638	1655	1358	1454
ENSMUSG00000019718.8|L3hypdh	28	44	10	20
ENSMUSG00000019726.12|Lyst	597	650	507	523
ENSMUSG00000019731.13|Slc35e1	1638	1814	1443	1497
ENSMUSG00000019732.14|Calr3	80	83	64	70
ENSMUSG00000019734.16|Tmc4	77	98	83	105
ENSMUSG00000019737.14|Syne4	30	47	10	22
ENSMUSG00000019738.15|Polr2i	295	288	220	209
ENSMUSG00000019761.10|Krt10	55	87	54	54
ENSMUSG00000019763.11|Rmnd1	418	484	296	361
ENSMUSG00000019768.16|Esr1	57	62	40	51
ENSMUSG00000019773.7|Fbxo5	458	549	385	421
ENSMUSG00000019774.8|Mtrf1l	165	202	166	167
ENSMUSG00000019777.16|Hdac2	2753	3226	3333	3617
ENSMUSG00000019779.15|Frk	2853	2936	4337	4707
ENSMUSG00000019782.10|Rwdd1	1254	1546	1040	1195
ENSMUSG00000019790.17|Stxbp5	526	696	737	802
ENSMUSG00000019791.12|Hint3	113	104	66	90
ENSMUSG00000019792.8|Trmt11	377	448	371	412
ENSMUSG00000019794.13|Katna1	518	654	431	457
ENSMUSG00000019795.17|Pcmt1	1081	1328	1270	1201
ENSMUSG00000019796.12|Lrp11	217	272	242	289
ENSMUSG00000019797.11|1700021F05Rik	271	304	285	322
ENSMUSG00000019802.13|Sec63	3172	3605	3019	3496
ENSMUSG00000019804.12|Snx3	1717	2066	1747	1912
ENSMUSG00000019806.13|Aig1	695	736	420	433
ENSMUSG00000019808.8|Adat2	170	153	128	132
ENSMUSG00000019809.16|Pex3	481	527	458	527
ENSMUSG00000019810.15|Fuca2	270	298	80	141
ENSMUSG00000019813.16|Cep57l1	166	206	120	161
ENSMUSG00000019814.5|Ltv1	1274	1328	1103	1326
ENSMUSG00000019817.18|Plagl1	109	133	375	365
ENSMUSG00000019818.15|Cd164	5756	7238	6477	6978
ENSMUSG00000019820.11|Utrn	2097	2167	1621	1747
ENSMUSG00000019822.12|Smpd2	327	319	343	363
ENSMUSG00000019823.17|Mical1	221	195	99	125
ENSMUSG00000019826.11|Zbtb24	274	348	360	453
ENSMUSG00000019831.14|Wasf1	293	312	312	325
ENSMUSG00000019832.5|Rab32	518	549	1163	1176
ENSMUSG00000019837.8|Gtf3c6	1061	1132	1117	1245
ENSMUSG00000019838.11|Slc16a10	179	257	411	413
ENSMUSG00000019841.15|Rev3l	772	819	762	813
ENSMUSG00000019842.6|Traf3ip2	461	479	425	476
ENSMUSG00000019843.14|Fyn	154	128	0	0
ENSMUSG00000019845.8|Tube1	176	175	131	150
ENSMUSG00000019849.11|Prep	2964	3156	3333	3392
ENSMUSG00000019850.11|Tnfaip3	2986	2737	6125	6247
ENSMUSG00000019851.8|Perp	1280	1424	1332	1544
ENSMUSG00000019852.7|Arfgef3	81	85	67	64
ENSMUSG00000019853.6|Hebp2	30	28	12	7
ENSMUSG00000019854.17|Reps1	1707	1817	1428	1483
ENSMUSG00000019857.7|Asf1a	537	563	497	530
ENSMUSG00000019861.15|Gopc	811	942	777	979
ENSMUSG00000019863.7|Qrsl1	311	322	229	276
ENSMUSG00000019864.14|Rtn4ip1	396	401	314	330
ENSMUSG00000019866.14|Crybg1	1642	2006	1440	1620
ENSMUSG00000019868.16|Vta1	704	773	500	609
ENSMUSG00000019872.13|Smpdl3a	41	54	110	157
ENSMUSG00000019873.8|Reep3	2093	2438	2383	2381
ENSMUSG00000019877.10|Serinc1	6615	7616	6512	7004
ENSMUSG00000019878.8|Hsf2	708	865	588	649
ENSMUSG00000019883.11|Echdc1	519	573	624	689
ENSMUSG00000019889.10|Ptprk	3463	3785	2790	2907
ENSMUSG00000019891.15|Dcbld1	380	428	526	599
ENSMUSG00000019897.8|Ccdc59	767	936	824	866
ENSMUSG00000019907.10|Ppp1r12a	3223	3582	3632	4071
ENSMUSG00000019916.14|P4ha1	1945	2201	1691	1845
ENSMUSG00000019917.10|Sept10	1449	1732	1322	1471
ENSMUSG00000019920.17|Lims1	3326	3746	2403	2817
ENSMUSG00000019923.14|Zwint	2562	2967	2049	2048
ENSMUSG00000019927.6|Ube2d1	470	600	457	486
ENSMUSG00000019942.13|Cdk1	2315	2598	2992	3206
ENSMUSG00000019943.10|Atp2b1	9720	11270	10036	10524
ENSMUSG00000019944.14|Rhobtb1	292	267	293	312
ENSMUSG00000019947.10|Arid5b	2078	2379	2300	2246
ENSMUSG00000019948.4|Actr6	206	260	214	235
ENSMUSG00000019951.10|Uhrf1bp1l	2877	3302	2030	2145
ENSMUSG00000019952.15|Poc1b	569	664	837	897
ENSMUSG00000019960.8|Dusp6	7382	7942	7565	8082
ENSMUSG00000019961.17|Tmpo	3759	4623	3291	3749
ENSMUSG00000019966.18|Kitl	2114	2602	3125	3397
ENSMUSG00000019969.14|Psen1	1947	2136	2011	2232
ENSMUSG00000019970.15|Sgk1	1245	1431	1739	1615
ENSMUSG00000019971.10|Cep290	563	743	645	717
ENSMUSG00000019975.12|Ikbip	553	666	419	506
ENSMUSG00000019977.16|Hbs1l	2602	2903	2009	2160
ENSMUSG00000019978.16|Epb41l2	4457	5060	4932	5469
ENSMUSG00000019979.12|Apaf1	772	915	653	694
ENSMUSG00000019984.16|Med23	1137	1347	1144	1204
ENSMUSG00000019986.17|Ahi1	251	316	270	316
ENSMUSG00000019988.7|Nedd1	1166	1323	963	1005
ENSMUSG00000019989.8|Enpp3	140	189	298	307
ENSMUSG00000019992.8|Mtfr2	174	201	214	277
ENSMUSG00000019996.17|Map7	15	18	35	46
ENSMUSG00000019997.11|Ccn2	1404	1754	2623	2939
ENSMUSG00000019998.6|Stx7	2971	3201	3466	3742
ENSMUSG00000020003.16|Pex7	524	595	531	680
ENSMUSG00000020009.13|Ifngr1	4098	4438	5042	5527
ENSMUSG00000020010.7|Vnn3	580	595	935	1021
ENSMUSG00000020015.10|Cdk17	1659	2030	1511	1522
ENSMUSG00000020018.6|Snrpf	1248	1652	1167	1216
ENSMUSG00000020019.4|Ntn4	287	369	341	406
ENSMUSG00000020021.4|Fgd6	1101	1219	1080	1106
ENSMUSG00000020022.17|Ndufa12	1272	1342	1157	1307
ENSMUSG00000020023.18|Tmcc3	397	441	350	367
ENSMUSG00000020024.7|Cep83	606	751	512	532
ENSMUSG00000020027.18|Socs2	1524	1904	1342	1518
ENSMUSG00000020029.6|Nudt4	2222	2684	3574	4016
ENSMUSG00000020032.14|Nuak1	66	76	65	79
ENSMUSG00000020034.7|Tcp11l2	392	410	958	990
ENSMUSG00000020038.10|Cry1	540	606	498	496
ENSMUSG00000020042.15|Btbd11	89	119	44	39
ENSMUSG00000020044.13|Timp3	121	129	31	36
ENSMUSG00000020048.13|Hsp90b1	14545	16376	15222	15611
ENSMUSG00000020056.16|Washc3	532	504	512	562
ENSMUSG00000020057.2|Dram1	114	114	118	100
ENSMUSG00000020063.16|Sirt1	658	845	868	899
ENSMUSG00000020064.9|Herc4	1252	1486	1084	1214
ENSMUSG00000020069.16|Hnrnph3	505	571	398	375
ENSMUSG00000020070.18|Rufy2	519	647	423	522
ENSMUSG00000020072.15|Pbld2	54	49	29	54
ENSMUSG00000020074.7|Ccar1	6208	7146	6033	6251
ENSMUSG00000020075.8|Ddx21	6484	7052	8354	8487
ENSMUSG00000020076.7|Ddx50	1671	1962	1395	1636
ENSMUSG00000020078.16|Vps26a	2330	2820	1746	1935
ENSMUSG00000020079.15|Supv3l1	594	672	531	660
ENSMUSG00000020080.8|Hkdc1	687	722	1314	1577
ENSMUSG00000020085.15|Aifm2	398	385	440	445
ENSMUSG00000020087.5|Tysnd1	171	197	182	190
ENSMUSG00000020088.10|Sar1a	3377	3922	3374	3513
ENSMUSG00000020089.8|Ppa1	1915	2234	2098	2122
ENSMUSG00000020091.15|Eif4ebp2	1689	1741	2024	2154
ENSMUSG00000020092.9|Pald1	287	315	344	393
ENSMUSG00000020097.14|Sgpl1	2969	3518	2830	2982
ENSMUSG00000020098.7|Pcbd1	1121	1164	1381	1487
ENSMUSG00000020099.8|Unc5b	3939	4054	4100	4303
ENSMUSG00000020100.15|Slc29a3	259	306	195	267
ENSMUSG00000020105.9|Lrig3	1194	1325	1597	1833
ENSMUSG00000020107.10|Anapc16	966	1127	951	920
ENSMUSG00000020108.4|Ddit4	1729	2003	1913	2171
ENSMUSG00000020109.13|Dnajb12	848	966	949	1022
ENSMUSG00000020111.15|Micu1	2566	2595	2948	3211
ENSMUSG00000020114.12|Cand1	3599	4073	3787	4038
ENSMUSG00000020115.3|Tbk1	828	940	683	778
ENSMUSG00000020116.7|Pno1	1048	1358	1143	1266
ENSMUSG00000020120.15|Plek	52	43	20	18
ENSMUSG00000020121.15|Srgap1	345	419	317	323
ENSMUSG00000020122.16|Egfr	1153	1146	1592	1513
ENSMUSG00000020124.10|Usp15	1947	2310	1742	1801
ENSMUSG00000020128.15|Vps54	946	1235	1050	1199
ENSMUSG00000020130.9|Tbc1d15	2911	3313	3378	3638
ENSMUSG00000020131.14|Pcsk4	120	119	118	142
ENSMUSG00000020132.10|Rab21	2559	2941	1716	1902
ENSMUSG00000020133.8|2310011J03Rik	612	630	656	701
ENSMUSG00000020134.13|Peli1	649	766	834	984
ENSMUSG00000020137.5|Thap2	862	1051	693	725
ENSMUSG00000020140.15|Lgr5	10	11	87	85
ENSMUSG00000020142.12|Slc1a4	4026	4582	4962	5224
ENSMUSG00000020149.17|Rab1a	5016	5682	5123	5589
ENSMUSG00000020150.13|Gamt	117	93	55	86
ENSMUSG00000020151.16|Ptprr	434	532	522	668
ENSMUSG00000020152.7|Actr2	6330	7199	5987	6230
ENSMUSG00000020153.14|Ndufs7	612	649	639	753
ENSMUSG00000020154.10|Ptprb	705	759	337	375
ENSMUSG00000020156.16|Mum1	808	834	672	653
ENSMUSG00000020159.8|Gabrp	70	91	475	603
ENSMUSG00000020160.18|Meis1	65	85	12	13
ENSMUSG00000020163.12|Uqcr11	886	853	978	1163
ENSMUSG00000020166.15|Cnot2	1631	1906	1947	2022
ENSMUSG00000020167.14|Tcf3	1512	1671	1215	1326
ENSMUSG00000020170.4|Frs2	828	1054	782	898
ENSMUSG00000020171.8|Yeats4	340	429	319	342
ENSMUSG00000020173.17|Cobl	264	300	196	251
ENSMUSG00000020175.15|Rab36	19	30	35	40
ENSMUSG00000020178.6|Adora2a	725	720	1291	1287
ENSMUSG00000020180.10|Snrpd3	1810	1825	2080	2349
ENSMUSG00000020181.16|Nav3	263	335	713	843
ENSMUSG00000020182.16|Ddc	127	157	166	205
ENSMUSG00000020184.15|Mdm2	1708	2145	1664	1712
ENSMUSG00000020185.16|E2f7	396	471	327	304
ENSMUSG00000020186.7|Csrp2	655	732	1066	1172
ENSMUSG00000020189.14|Osbpl8	1416	1684	1583	1597
ENSMUSG00000020190.13|Mknk2	1084	1094	1151	1278
ENSMUSG00000020196.10|Cabin1	1123	1238	1184	1270
ENSMUSG00000020198.8|Ap3d1	2382	2601	1946	2080
ENSMUSG00000020205.8|Phlda1	3621	4077	4141	4018
ENSMUSG00000020211.15|Sf3a2	1194	1309	1308	1434
ENSMUSG00000020212.14|Mdm1	258	294	156	221
ENSMUSG00000020219.7|Timm13	1009	972	900	989
ENSMUSG00000020220.16|Vps13d	1272	1376	1398	1600
ENSMUSG00000020224.15|Llph	1516	1796	1620	1740
ENSMUSG00000020225.10|Tmbim4	727	882	783	963
ENSMUSG00000020227.10|Irak3	285	287	343	371
ENSMUSG00000020228.11|Helb	243	277	276	283
ENSMUSG00000020230.15|Prmt2	1057	1035	824	873
ENSMUSG00000020231.15|Dip2a	1467	1503	822	868
ENSMUSG00000020232.17|Hmg20b	434	610	412	434
ENSMUSG00000020235.16|Fzr1	982	984	1191	1308
ENSMUSG00000020238.14|Ncln	1410	1458	1719	1808
ENSMUSG00000020241.13|Col6a2	169	172	74	82
ENSMUSG00000020246.13|Hcfc2	727	894	904	932
ENSMUSG00000020248.18|Nfyb	1180	1378	1124	1183
ENSMUSG00000020250.10|Txnrd1	5578	6242	4565	4830
ENSMUSG00000020251.13|Glt8d2	9	16	25	34
ENSMUSG00000020253.15|Ppm1m	521	510	357	451
